code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count
3038352880909,Le Ravioli Bolognaise sans conservateur,b,c,FALSE,72,Bon,11.4740384615385,1.9,433,kJ,103,1.7,0.34,4.5,1.3,11.4740384615385,0,0,0,1,1
3021690011050,Ravioli 6 légumes,b,b,FALSE,75,Excellent,34.35,2.3,316,kJ,75,0.5,0.308,2.7,1.8,34.35,0,0,0,0,0
3564707101981,Ravioli Ricotta Epinards,b,a,TRUE,85,Excellent,11,2.8,1031,kJ,244,2,0.56,8.6,3.4,11,0,0,0,0,0
3021690029093,Ravioli pur boeuf français,b,b,FALSE,75,Excellent,42.95,1.9,391,kJ,84,0.8,0.34,3.7,1.1,42.95,0,0,0,0,0
5905279248069,Gyoza poulet,b,c,FALSE,72,Bon,41.8892822265625,1.7,712,kJ,170,1.1,0.44,7.6,1.9,41.8892822265625,0,0,0,0,0
20263812,Ravioli Pur Bœuf,b,b,FALSE,69,Bon,12.478125,1.4,91,kcal,91,0.8,0.34,3.8,0.8,12.478125,0,0,1,1,2
3240931545066,Gnocchi à poêler,b,b,FALSE,75,Excellent,6.375,1.5,801,kJ,190,0.3,0.44,5,2.6,6.375,0,0,0,1,1
3242272251354,Tortellini chèvre sauce tomate,b,c,FALSE,75,Excellent,17.3017939814815,1.7,674,kJ,161,2.5,0.28,6.1,2.5,17.3017939814815,0,0,0,0,0
5410028120126,Chinese Eiermie,b,b,FALSE,75,Excellent,0,2.3,1517,kJ,358,0.7,0.368,12.5,2.5,0,0,0,0,1,1
3240931545332,Girasoli cèpes parmesan,b,b,FALSE,72,Bon,21.7,7.1,1048,kJ,249,2.6,0.44,8.1,2.9,21.7,0,0,0,0,0
336789,Spinach Ricotta Tortelloni,b,c,FALSE,66,Bon,13.5,1.4,758,kJ,161,1.1,0.14,6.3,1.7,13.5,0,0,1,0,1
3564700318621,Ravioli Bœuf et Oignons,b,c,FALSE,66,Bon,2.7,5.4,1091,kJ,259,1.9,0.336,11,1.8,2.7,0,0,1,0,1
3281780897081,Salade Tokyo,b,b,FALSE,54,Bon,45.83125,4.9,569,kJ,136,0.7,0.48,4.8,3.1,45.83125,0,1,1,1,3
3270160570614,"Cannelloni ricotta, épinards",b,c,FALSE,69,Bon,13.82109375,2.8,138,kcal,138,3.6,0.2,6.6,1.2,13.82109375,0,0,1,1,2
3180950015716,Spaetzle,b,b,FALSE,72,Bon,0.395,0.5,744,kJ,174,0.7,0.316,6,,0.395,0,0,0,0,0
8852018101024,Instantnudeln - Chicken Flavour,c,d,FALSE,36,Mediocre,2.3,0.3,332,kJ,80,1.8,0.316,1.2,,2.3,2,1,2,2,6
3240931547138,Gnocchi a poeler extra fromage 285g,c,b,FALSE,69,Bon,4.3,2.1,965,kJ,230,3,0.52,8.3,1.8,4.3,0,0,0,0,0
8852018101017,YumYum - Beef Flavor,c,b,FALSE,33,Mediocre,0.75,0.7,318,kJ,76,1.8,0.32,1.2,,0.75,2,2,2,4,10
8410300349952,,c,c,FALSE,3,Mauvais,0,0.452,1203,kJ,287,6,0.335,2.13,0.0323,0,1,0,3,5,9
8852018101062,Nouilles Instantanées Légumes,c,d,FALSE,36,Mediocre,0.0268634449351905,3.2,2014,kJ,76,10,1.8,8,,0.0268634449351905,9,1,3,2,15
8008343201179,gnocchi di patate,c,a,FALSE,54,Bon,0,0.1,666,kJ,159,0.1,0.56,5,1.6,0,0,1,0,1,2
3038352881005,PZ RAVIOLI BOLO 800GR,c,b,FALSE,72,Bon,11.60625,1.9,103,kcal,103,1.7,0.34,4.5,0.7,11.60625,0,0,0,1,1
8852018101031,"Nouilles Instantanées, saveur Canard",c,d,FALSE,36,Mediocre,0.550649007161456,1.1,365,kJ,87,1.7,0.5,1.5,,0.550649007161456,6,1,2,2,11
3240931543390,Lustucru selection ravioli 4 fromages 305g,c,c,FALSE,63,Bon,3.03,4.3,1097,kJ,261,3.1,0.352,9.9,1.9,3.03,0,0,1,0,1
5000118203503,Pot Noodle Chicken & Mushroom,c,c,FALSE,42,Mediocre,0,1.1000000238419,141,kcal,141,2.7999999523163,0.251999998092652,3.2000000476837,,0,1,0,4,6,11
3240931540177,Lustucru gnocchi a poeler extra fromage maxi 500g,c,a,FALSE,69,Bon,4.3,2.1,965,kJ,230,3,0.52,8.3,1.8,4.3,0,0,0,0,0
8712429361106,Nissin Demae Ramen Spicy,c,d,FALSE,36,Mediocre,1.02216796875,0.6,382,kJ,91,2,0.4,1.9,,1.02216796875,3,0,4,6,13
8410300352280,,c,d,FALSE,18,Mauvais,3.3,3.7,938,kJ,224,4.7,0.48,4.7,1.5,3.3,1,0,3,2,6
8852018101079,Soupe de Nouilles Arôme Curry,c,c,FALSE,36,Mediocre,0.00348091125488281,0.6,73,kcal,73,1.4,0.00032,1.3,,0.00348091125488281,7,1,3,1,12
26037431,Pâtes fraîches champignons et mascarpone,c,b,FALSE,69,Bon,23.575,6.9,286,kcal,286,1.9,0.3,9.8,,23.575,0,0,0,1,1
0,YumYum Chicken Flavour,c,b,FALSE,30,Mediocre,5.4,1.1,414,kJ,99,2.1,0.4,1.8,,5.4,5,1,3,1,5
8006515610323,Ravioli tomates rôties et burrata,c,a,FALSE,48,Mediocre,6.8,1.8,281,kcal,281,6.1,0.32,8.5,2.2,6.8,0,0,0,0,0
8480000224538,Noodles sabor pollo,c,c,FALSE,39,Mediocre,0,0.9,384,kJ,92,2.1,0.32,2,0.9,0,1,0,3,4,8
3229820783031,Mian Tiao saveur boeuf - 85 g - Tien Shan,c,b,FALSE,51,Bon,0.3,0.6,112,kcal,112,0.6,0.32,2.6,0.7,0.3,0,0,3,1,10
2006050028757,Ravioli aux fromages,c,c,FALSE,69,Bon,1.74201194675402,6.3,265,kcal,265,3.4,0.4,11,1.9,1.74201194675402,0,0,0,1,3
