code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving.1,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count,knn_class,quantile_class
3564707103237,Penne Rigate,a,b,True,100,excellent,0.0,3.5,1504.0,kJ,355.0,0.1,0.0,12.0,2.5,0.0,0,0,0,0,0,B,B
3596710516001,Fusilli au blé complet,a,b,True,100,excellent,0.0,3.5,1451.0,kJ,343.0,0.5,0.004,12.0,8.0,0.0,0,0,0,0,0,B,B
3564707000093,Coquillettes Bio,a,b,True,100,excellent,0.0,3.5,1504.0,kJ,,0.1,0.0,12.0,2.5,0.0,0,0,0,0,0,B,B
3564707164474,Bio village,a,b,True,100,excellent,0.0,3.5,335.0,kcal,335.0,0.1,0.012,12.0,2.5,,0,0,0,0,0,B,B
3478820003643,spaghetti au quinoa curry curcuma,a,b,True,100,excellent,0.0,2.0,1524.0,kJ,360.0,0.0,0.0,11.0,6.4,0.0,0,0,0,0,0,A,B
3760020509491,Ravioli de légumes,a,a,True,88,excellent,48.53828125,3.0,319.0,kJ,76.0,0.2,0.26,2.3,1.4,48.53828125,0,0,0,0,0,A,B
3252970006170,Avoine Bio de France,a,b,True,100,excellent,0.0,2.5,348.0,kcal,348.0,0.3,0.0,11.0,3.0,0.0,0,0,0,0,0,A,B
8076809570664,Barilla pates coquillettes bio 500g,a,a,True,100,excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.0,12.0,3.0,0.0,0,0,0,0,0,B,B
8003740125363,Fusilli 36,a,b,True,100,excellent,0.0,3.5,1451.0,kJ,343.0,0.5,0.004,12.0,8.0,0.0,0,0,0,0,0,B,B
3250392066192,Raviolis aux légumes BIO 675g (bocal),a,a,True,94,excellent,42.87563477,3.7,303.0,kJ,72.0,0.2,0.32,2.1,2.1,42.87563477,0,0,0,0,0,B,C
26022314,Spaghetti,a,b,True,100,excellent,0.0,1.4,167.0,kcal,167.0,0.2,0.004,5.0,0.0,0.0,0,0,0,0,0,A,A
8032891769249,Spaghetti semi-complet,a,a,True,100,excellent,0.0,5.5,361.0,kcal,361.0,0.4,0.02,11.8,4.7,0.0,0,0,0,0,0,B,B
3270190127833,Spaghetti,a,b,True,100,excellent,0.0,3.5,354.0,kcal,354.0,0.0,0.0,12.0,2.5,0.0,0,0,0,0,0,B,B
4056489362449,Bio Spaghetti blé complet,a,b,True,100,excellent,0.0,4.0,1407.0,kJ,336.0,0.5,0.012,12.0,11.0,0.0,0,0,0,0,0,B,B
3564707000086,Spaghettis,a,b,True,100,excellent,0.0,3.5,1504.0,kJ,355.0,0.1,0.012,12.0,2.5,0.0,0,0,0,0,0,B,B
3380390175524,Spirales 3 couleurs blé & quinoa,a,b,True,100,excellent,5.0,3.0,1488.0,kJ,,0.4,0.004,10.8,2.8,5.0,0,0,0,0,0,B,B
3560071251864,Fusilli au blé complet,a,b,True,100,excellent,0.0,3.0,360.0,kcal,360.0,0.400000006,0.0,13.0,6.0,0.0,0,0,0,0,0,A,B
3760103149415,Vermicelles thaïs de riz,a,b,True,100,excellent,0.0,0.0,1525.0,kJ,359.0,0.6,0.0,6.6,2.2,0.0,0,0,0,0,0,B,B
3456300002515,Bons Tuyaux Semi-complets,a,b,True,100,excellent,0.0,3.6,1515.0,kJ,357.0,0.3,0.008,12.3,4.9,0.0,0,0,0,0,0,A,B
4056489705314,"Mezzelune butternut squash, ricotta & mascarpone",a,c,False,90,excellent,85.2,6.9,214.0,kcal,214.0,1.6,0.244,7.4,3.2,85.2,0,0,0,1,1,C,D
8480000063632,Estrellas,a,b,False,90,excellent,0.0,3.5,1531.0,kJ,366.0,0.3,0.016,12.0,4.0,0.0,0,0,0,0,0,A,B
8480000062383,Hélices. Pasta Alimenticia De Calidad Superior,a,b,False,90,excellent,0.0,3.6,1510.0,kJ,361.0,0.3,0.004,13.0,3.5,0.0,0,0,0,0,0,B,A
8032891769492,Spirale complète d'épeautre de Tartarie Bio,a,a,False,100,Excellent,0.0,3.5,344.0,kcal,344.0,0.6,0.004,11.5,5.8,0.0,0,0,0,0,0,B,B
3259011215430,Farfalle riz brun,a,b,False,100,Excellent,0.0,0.0,1533.0,kJ,366.0,0.8,0.004,8.8,3.5,0.0,0,0,0,0,0,B,C
3245390065926,Crozet de Savoie,a,b,False,90,Excellent,0.0,2.5,1550.0,kJ,366.0,0.8,0.1,13.0,3.5,0.0,0,0,0,0,0,B,C
3038356507604,Panzani Cous Cous Paste Fainoase,a,a,False,90,Excellent,,3.0,1528.0,kJ,365.0,0.4,0.008,12.0,3.4,,0,0,0,0,0,B,B
3256220298896,Farfalle qualité supérieure,a,b,False,90,Excellent,0.0,3.0,1500.0,kJ,354.0,0.3,0.008,12.0,3.5,0.0,0,0,0,0,0,A,B
8005709100084,Spaghetti,a,b,False,90,Excellent,0.0,3.2,1501.0,kJ,354.0,0.3,0.002,14.0,2.7,0.0,0,0,0,0,0,B,B
5054781025276,Wholewheat Penne Pasta,a,b,False,90,Excellent,0.0,0.5,621.0,kJ,147.0,0.2,0.004,4.8,3.7,0.0,0,0,0,0,0,A,A
4088600132037,wholewheat spaghetti,a,b,False,90,Excellent,0.0,1.5,662.0,kJ,,0.2,0.004,5.5,3.8,0.0,0,0,0,0,0,A,A
8004690053195,Rigatoni,a,b,False,90,Excellent,0.0,4.0,351.0,kcal,351.0,0.3,0.0,14.0,3.0,0.0,0,0,0,0,0,B,B
8480000063267,Macarrón,a,b,False,90,Excellent,0.0,3.5,1550.0,kJ,366.0,0.3,0.016,12.0,4.0,0.0,0,0,0,0,0,A,B
3073190101069,Macaroni aux œufs frais,a,a,False,90,Excellent,0.0,4.5,374.0,kcal,374.0,0.8,0.008,14.0,3.0,0.0,0,0,0,0,0,B,C
8005709104952,Fusilli,a,b,False,90,Excellent,0.0,3.2,1501.0,kJ,354.0,0.3,0.002,14.0,2.7,0.0,0,0,0,0,0,B,B
20086497,Macaroni,a,b,False,90,Excellent,0.0,3.2,1483.0,kJ,350.0,0.3,0.0,12.5,3.5,0.0,0,0,0,0,0,B,A
3250391968947,Crozets de Savoie au Sarrasin - Itinéraire des Saveurs,a,b,False,90,Excellent,0.0,0.5,603.0,kJ,,0.3,0.036,5.3,1.4,0.0,0,0,0,0,0,B,B
8076800315097,N-Bucatini n°9,a,b,False,90,Excellent,0.0,1.0,1487.0,kJ,355.4015,0.3,0.002,12.5,3.0,0.0,0,0,0,0,0,A,A
3660861021490,"Farfalles, Al dente en 3 minutes",a,b,False,90,Excellent,0.0,6.0,355.0,kcal,355.0,0.3,0.008,13.0,3.0,0.0,0,0,0,0,0,B,B
8005709200128,chitarra,a,b,False,90,Excellent,0.0,3.2,354.0,kcal,354.0,0.3,0.002,13.5,0.0,,0,0,0,0,0,E,C
3564700680667,Cannelloni à Farcir,a,b,False,90,Excellent,0.0,2.0,1536.0,kJ,,0.4,0.0,12.5,2.6,0.0,0,0,0,0,0,B,B
3564700769034,Coudes rayés,a,b,False,90,Excellent,0.0,3.5,1518.0,kJ,348.0,0.1,0.0,12.0,3.0,0.0,0,0,0,0,0,B,B
8004690611517,Spaghetto quadrato,a,b,False,90,Excellent,0.0,3.3,353.0,kcal,353.0,0.3,0.032,15.0,8.0,0.0,0,0,0,0,0,B,B
3248830770718,"Nouilles à la Chinoise au Poulet, légumes croquants",a,e,False,84,Excellent,5.1,2.2,430.0,kJ,102.0,0.4,0.268,5.0,1.8,5.1,0,0,0,0,0,B,B
3248830001645,Nouilles à la chinoise au poulet,a,e,,84,Excellent,55.3,3.4,515.0,kJ,122.0,0.4,0.312,7.3,1.9,55.3,0,0,0,0,0,B,C
8017596071859,Fusilli mais e riso,a,e,,49,Mediocre,0.0,0.6,1523.0,kJ,359.0,0.3,0.092,6.5,2.0,0.0,1,0,0,0,1,E,D
3222477067356,Tagliatelles recette aux oeufs frais,a,e,,90,Excellent,0.0,0.0,1161.0,kJ,274.0,0.7,0.02,10.0,2.3,0.0,0,0,0,0,0,A,C
8001665714372,Tortellini ricotta & épinards,b,c,False,78,Excellent,20.01367188,5.6,1081.0,kJ,257.0,2.5,0.44,9.0,5.5,20.01367188,0,0,0,0,0,D,D
3038352880305,"Le Ravioli, Pur Bœuf",b,b,False,75,Excellent,8.653846154,1.4,91.0,kcal,91.0,0.8,0.34,3.8,1.6,8.653846154,0,0,0,1,1,C,D
3038352880206,Ravioli pur bœuf sans colorant ni conservateur,b,b,False,75,Excellent,17.1875,1.4,384.0,kJ,91.0,0.8,0.34,3.8,1.6,17.1875,0,0,0,1,1,C,D
3229820181363,Ramen soja caramel,b,b,False,54,Bon,0.2175,2.5,692.0,kJ,163.0,0.1,0.6,5.3,1.7,0.2175,0,0,2,3,5,E,E
3248832960209,Penne au Poulet et au Pesto,b,d,False,84,Excellent,24.99166667,1.6,778.0,kJ,186.0,1.5,0.26,8.0,1.2,24.99166667,0,0,0,0,0,B,B
3240930116120,Ravioli boeuf,b,e,False,75,Excellent,13.55,4.2,1109.0,kJ,263.0,2.0,0.44,9.7,2.3,13.55,0,0,0,0,0,D,D
