profile,energy-kcal_value,sugars_100g,saturated-fat_value,sodium_100g,Nbr additifs à risque,additives_count,fruits-vegetables-nuts-estimate-from-ingredients_serving,proteins_100g,fiber_100g
π1,407.10476189999997,20.7428571428,7.3133333334,22.4308571428,3.4,8.2,0.0,10.9142857142,2.311428581
π2,436.2047619,20.7428571428,8.5133333334,22.4308571428,3.4,8.8,0.0,10.181285714200001,1.8746285762
π3,436.2047619,10.5348571428,8.5133333334,22.0888571428,2.8,8.8,0.0,10.181285714200001,1.8746285762
π4,291.1,3.72,3.6400000000000006,0.568,0.6,1.1,14.9892787245,13.0,4.8
π5,309.75,3.5780000000000003,2.8,0.5668,0.0,1.15,12.13805871075,17.9,8.819999999999999
π6,309.75,3.158,2.4,0.4796,0.0,1.15,12.13805871075,18.7,9.319999999999999
